Reg_id,Gender,Age,Construction,New Construction,Elevator,Floors,Floor_area,Rooms,Bathrooms,Ceiling_height,Floor,Balcony,Furnished,Renovation,Children Welcome,Pets Allowed,Utility Payments,Address,Price,Currency,Duration,Date,Amenities,Appliances,Parking,Index,EXCLUDED_ID,REASON,Monthly USD Price
1,Male,30,monolith,True,True,12.0,33.0,2.0,1.0,2.8,2.0,0,1,euro_renovation,1.0,0.0,0.0,"Norashen block, Yerevan",160000.0,AMD,monthly,2023-01-07,"television,_internet","fridge,_stove,_washing_machine,_iron",outdoor_parking,A167,167,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1177.006606424178
1,Male,63,monolith,True,True,12.0,100.0,3.0,1.0,3.0,6.0,0,1,designer_renovation,1.0,0.0,1.0,"Amiryan street, Երևան",120.0,USD,daily,2023-01-07,,,,A173,173,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1020.0723922342876
1,Female,62,monolith,True,True,10.0,100.0,3.0,2.0,3.0,9.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,"Northern Avenue, Yerevan",3000.0,USD,monthly,2023-01-07,,,,A175,175,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1569.342141898904
1,Female,46,stone,False,False,4.0,48.0,2.0,1.0,2.75,4.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,"Vagharsh Vagharshyan street, Yerevan",800.0,USD,monthly,2023-01-07,,,,A183,183,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1255.4737135191233
1,Female,33,stone,False,False,4.0,30.0,1.0,1.0,2.75,1.0,0,1,euro_renovation,1.0,2.0,0.0,"Shinararneri street, Yerevan",250000.0,AMD,monthly,2023-01-07,,"fridge,_stove,_coffee_maker,_washing_machine,_water_heater",outdoor_parking,A195,195,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1177.006606424178
1,Female,67,monolith,True,True,10.0,110.0,3.0,2.0,3.0,9.0,open_balcony,1,designer_renovation,1.0,0.0,1.0,"Northern Avenue, Yerevan",150.0,USD,daily,2023-01-07,,,,A198,198,The Monthly USD price was outside a 1% IQR (Inter-Quartile Range); ,1726.2763560887945
1,Female,42,monolith,True,True,15.0,140.0,4.0,2.0,2.8,9.0,open_balcony,2,major_renovation,1.0,1.0,0.0,"Ազատության պողոտա, Երևան",1900.0,USD,monthly,2023-01-07,,,,A199,199,Address was Missing; The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,1726.2763560887945
1,Male,54,monolith,True,True,12.0,100.0,3.0,2.0,3.0,4.0,open_balcony,1,designer_renovation,1.0,0.0,1.0,"Byuzand Street, Yerevan",40000.0,AMD,daily,2023-01-07,,,,A203,203,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1569.342141898904
1,Female,27,stone,False,False,5.0,50.0,2.0,1.0,3.0,3.0,open_balcony,1,designer_renovation,1.0,0.0,1.0,"Saryan Street, Yerevan",45000.0,AMD,daily,2023-01-07,,,,A204,204,The price was outside a 5% IQR (Inter-Quartile Range) for its currency duration; ,1569.342141898904
1,Female,69,stone,False,True,6.0,36.0,2.0,1.0,3.0,4.0,0,1,major_renovation,1.0,1.0,0.0,"Abovyan Str, Yerevan",400000.0,AMD,monthly,2023-01-07,"television,_air_conditioner,_internet,_parking_space",,covered_parking,A206,206,The Floor Area was Outside a 5% IQR (Inter-Quartile Range); ,2197.0789986584655
